[offtarget] Loaded 37 unique guides, max_mismatches=3
[offtarget] Guide index: 0 entries (37 fwd + RC), 0 seed buckets
[offtarget] Scanning reference genome: /Volumes/T9/loom-openscience/raw/pig/pig.fna
[offtarget] 613 chromosomes/contigs found
[offtarget]   NC_010443.5 — 261.6 Mb, 0 hits in 0.01s
[offtarget]   NC_010444.4 — 144.9 Mb, 0 hits in 0.00s
[offtarget]   NC_010445.4 — 126.7 Mb, 0 hits in 0.00s
[offtarget]   NC_010446.5 — 124.8 Mb, 0 hits in 0.00s
[offtarget]   NC_010447.5 — 99.7 Mb, 0 hits in 0.00s
[offtarget]   NC_010448.4 — 162.9 Mb, 0 hits in 0.01s
[offtarget]   NC_010449.5 — 116.2 Mb, 0 hits in 0.00s
[offtarget]   NC_010450.4 — 132.5 Mb, 0 hits in 0.00s
[offtarget]   NC_010451.4 — 133.0 Mb, 0 hits in 0.00s
[offtarget]   NC_010452.4 — 66.1 Mb, 0 hits in 0.00s
[offtarget]   NC_010453.5 — 75.5 Mb, 0 hits in 0.00s
[offtarget]   NC_010454.4 — 58.7 Mb, 0 hits in 0.00s
[offtarget]   NC_010455.5 — 198.7 Mb, 0 hits in 0.01s
[offtarget]   NC_010456.5 — 135.2 Mb, 0 hits in 0.01s
[offtarget]   NC_010457.5 — 133.9 Mb, 0 hits in 0.01s
[offtarget]   NC_010458.4 — 76.2 Mb, 0 hits in 0.00s
[offtarget]   NC_010459.5 — 60.6 Mb, 0 hits in 0.00s
[offtarget]   NC_010460.4 — 53.4 Mb, 0 hits in 0.00s
[offtarget]   NC_010461.5 — 120.1 Mb, 0 hits in 0.01s
[offtarget]   NC_010462.3 — 41.5 Mb, 0 hits in 0.00s
[offtarget]   NW_018084777.1 — 0.4 Mb, 0 hits in 0.00s
[offtarget]   NW_018084778.1 — 0.5 Mb, 0 hits in 0.00s
[offtarget]   NW_018084779.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_018084780.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_018084781.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_018084782.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_018084783.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_018084784.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_018084785.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_018084786.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_018084787.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_018084788.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_018084789.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_018084790.1 — 0.0 Mb, 0 hits in 0.00s
