[offtarget] Loaded 37 unique guides, max_mismatches=3
[offtarget] Guide index: 0 entries (37 fwd + RC), 0 seed buckets
[offtarget] Scanning reference genome: /Volumes/T9/loom-openscience/raw/chicken/chicken.fna
[offtarget] 214 chromosomes/contigs found
[offtarget]   NC_052532.1 — 187.3 Mb, 0 hits in 0.01s
[offtarget]   NW_024095932.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095933.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095934.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095935.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052533.1 — 142.6 Mb, 0 hits in 0.01s
[offtarget]   NC_052534.1 — 105.5 Mb, 0 hits in 0.00s
[offtarget]   NC_052535.1 — 86.7 Mb, 0 hits in 0.00s
[offtarget]   NW_024095936.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095937.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052536.1 — 56.7 Mb, 0 hits in 0.00s
[offtarget]   NC_052537.1 — 34.5 Mb, 0 hits in 0.00s
[offtarget]   NC_052538.1 — 34.7 Mb, 0 hits in 0.00s
[offtarget]   NC_052539.1 — 28.2 Mb, 0 hits in 0.00s
[offtarget]   NC_052540.1 — 22.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052541.1 — 19.5 Mb, 0 hits in 0.00s
[offtarget]   NC_052542.1 — 18.7 Mb, 0 hits in 0.00s
[offtarget]   NC_052543.1 — 19.2 Mb, 0 hits in 0.00s
[offtarget]   NC_052544.1 — 17.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052545.1 — 14.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052546.1 — 12.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052547.1 — 2.6 Mb, 0 hits in 0.00s
[offtarget]   NW_024095938.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095939.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095940.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095941.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095942.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052548.1 — 10.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052549.1 — 11.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052550.1 — 10.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052551.1 — 13.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052552.1 — 6.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052553.1 — 4.5 Mb, 0 hits in 0.00s
[offtarget]   NC_052554.1 — 6.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052555.1 — 6.2 Mb, 0 hits in 0.00s
[offtarget]   NC_052556.1 — 2.9 Mb, 0 hits in 0.00s
[offtarget]   NC_052557.1 — 5.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052558.1 — 5.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052559.1 — 5.2 Mb, 0 hits in 0.00s
[offtarget]   NC_052560.1 — 0.7 Mb, 0 hits in 0.00s
[offtarget]   NW_024095943.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095944.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052561.1 — 0.7 Mb, 0 hits in 0.00s
[offtarget]   NC_052562.1 — 2.3 Mb, 0 hits in 0.00s
[offtarget]   NW_024095945.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095946.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095947.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052563.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095948.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095949.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095950.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095951.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095952.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095953.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052564.1 — 3.7 Mb, 0 hits in 0.00s
[offtarget]   NW_024095954.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095955.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052565.1 — 3.3 Mb, 0 hits in 0.00s
[offtarget]   NC_052566.1 — 0.5 Mb, 0 hits in 0.00s
[offtarget]   NW_024095956.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095957.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095958.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095959.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095960.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NC_052567.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_024095961.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095962.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095963.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095964.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095965.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095966.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052568.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095967.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095968.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095969.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095970.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095971.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095972.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052569.1 — 0.6 Mb, 0 hits in 0.00s
[offtarget]   NC_052570.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095973.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095974.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NC_052571.1 — 8.7 Mb, 0 hits in 0.00s
[offtarget]   NW_024095975.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095976.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095977.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095978.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095979.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095980.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095981.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095982.1 — 0.4 Mb, 0 hits in 0.00s
[offtarget]   NW_024095983.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095984.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095985.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095986.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095987.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095988.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095989.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095990.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024095991.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095992.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095993.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NC_052572.1 — 82.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095994.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095995.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024095996.1 — 0.4 Mb, 0 hits in 0.00s
[offtarget]   NW_024095997.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_024095998.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024095999.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024096000.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096001.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096002.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096003.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096004.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096005.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096006.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096007.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024096008.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096009.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096010.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096011.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_024096012.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096013.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096014.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096015.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096016.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096017.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096018.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096019.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096020.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096021.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096022.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096023.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096024.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096025.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096026.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096027.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096028.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096029.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096030.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096031.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096032.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_024096033.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096034.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096035.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096036.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096037.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096038.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096039.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096040.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_024096041.1 — 0.1 Mb, 0 hits in 0.00s
