[offtarget] Loaded 37 unique guides, max_mismatches=3
[offtarget] Guide index: 0 entries (37 fwd + RC), 0 seed buckets
[offtarget] Scanning reference genome: /Volumes/T9/loom-openscience/raw/camel/camel.fna
[offtarget] 21070 chromosomes/contigs found
[offtarget]   NC_044511.1 — 118.9 Mb, 0 hits in 0.01s
[offtarget]   NC_044512.1 — 118.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044513.1 — 115.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044514.1 — 65.2 Mb, 0 hits in 0.00s
[offtarget]   NC_044515.1 — 93.0 Mb, 0 hits in 0.00s
[offtarget]   NC_044516.1 — 93.0 Mb, 0 hits in 0.00s
[offtarget]   NC_044517.1 — 82.6 Mb, 0 hits in 0.00s
[offtarget]   NC_044518.1 — 77.5 Mb, 0 hits in 0.00s
[offtarget]   NC_044519.1 — 73.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044520.1 — 65.9 Mb, 0 hits in 0.00s
[offtarget]   NC_044521.1 — 81.5 Mb, 0 hits in 0.00s
[offtarget]   NC_044522.1 — 65.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044523.1 — 66.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044524.1 — 67.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044525.1 — 54.8 Mb, 0 hits in 0.00s
[offtarget]   NC_044526.1 — 53.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044527.1 — 49.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044528.1 — 31.4 Mb, 0 hits in 0.00s
[offtarget]   NC_044529.1 — 43.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044530.1 — 41.0 Mb, 0 hits in 0.00s
[offtarget]   NC_044531.1 — 29.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044532.1 — 27.3 Mb, 0 hits in 0.00s
[offtarget]   NC_044533.1 — 32.9 Mb, 0 hits in 0.00s
[offtarget]   NC_044534.1 — 23.6 Mb, 0 hits in 0.00s
[offtarget]   NC_044535.1 — 39.8 Mb, 0 hits in 0.00s
[offtarget]   NC_044536.1 — 26.6 Mb, 0 hits in 0.00s
[offtarget]   NC_044537.1 — 27.3 Mb, 0 hits in 0.00s
[offtarget]   NC_044538.1 — 15.3 Mb, 0 hits in 0.00s
[offtarget]   NC_044539.1 — 24.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044540.1 — 24.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044541.1 — 16.6 Mb, 0 hits in 0.00s
[offtarget]   NC_044542.1 — 23.8 Mb, 0 hits in 0.00s
[offtarget]   NC_044543.1 — 22.3 Mb, 0 hits in 0.00s
[offtarget]   NC_044544.1 — 21.4 Mb, 0 hits in 0.00s
[offtarget]   NC_044545.1 — 25.1 Mb, 0 hits in 0.00s
[offtarget]   NC_044546.1 — 6.7 Mb, 0 hits in 0.00s
[offtarget]   NC_044547.1 — 115.9 Mb, 0 hits in 0.00s
[offtarget]   NW_022173758.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_022173759.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173760.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173761.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173762.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173763.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173764.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173765.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173766.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173767.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173768.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173769.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173770.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173771.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173772.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173773.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173774.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173775.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173776.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173777.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173778.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173779.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173780.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173781.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173782.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173783.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173784.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173785.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173786.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173787.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173788.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173789.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173790.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173791.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173792.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173793.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173794.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173795.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173796.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173797.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173798.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173799.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173800.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173801.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173802.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173803.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173804.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173805.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173806.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173807.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173808.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173809.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173810.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173811.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173812.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173813.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173814.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173815.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173816.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_022173817.1 — 0.0 Mb, 0 hits in 0.00s
