[offtarget] Loaded 52 unique guides, max_mismatches=3
[offtarget] Guide index: 104 entries (52 fwd + RC), 378 seed buckets
[offtarget] Scanning reference genome: data/human/GRCh38.fa
[offtarget] 455 chromosomes/contigs found
[offtarget]   chr1 — 237.4 Mb, 2027 hits in 2.47s
[offtarget]   chr10 — 127.6 Mb, 1184 hits in 1.49s
[offtarget]   chr11 — 128.8 Mb, 1283 hits in 2.18s
[offtarget]   chr11_KI270721v1_random — 0.1 Mb, 0 hits in 0.01s
[offtarget]   chr12 — 127.1 Mb, 1279 hits in 2.59s
[offtarget]   chr13 — 109.1 Mb, 1068 hits in 0.96s
[offtarget]   chr14 — 102.1 Mb, 806 hits in 1.09s
[offtarget]   chr14_GL000009v2_random — 0.2 Mb, 1 hits in 0.03s
[offtarget]   chr14_GL000225v1_random — 0.2 Mb, 0 hits in 0.01s
[offtarget]   chr14_KI270722v1_random — 0.2 Mb, 4 hits in 0.02s
[offtarget]   chr14_GL000194v1_random — 0.2 Mb, 2 hits in 0.29s
[offtarget]   chr14_KI270723v1_random — 0.0 Mb, 1 hits in 0.13s
[offtarget]   chr14_KI270724v1_random — 0.0 Mb, 1 hits in 0.02s
[offtarget]   chr14_KI270725v1_random — 0.2 Mb, 2 hits in 0.15s
[offtarget]   chr14_KI270726v1_random — 0.0 Mb, 0 hits in 0.01s
[offtarget]   chr15 — 97.3 Mb, 703 hits in 0.90s
[offtarget]   chr15_KI270727v1_random — 0.4 Mb, 2 hits in 0.04s
[offtarget]   chr16 — 86.2 Mb, 574 hits in 1.36s
[offtarget]   chr16_KI270728v1_random — 1.8 Mb, 19 hits in 0.16s
[offtarget]   chr17 — 79.4 Mb, 521 hits in 2.26s
[offtarget]   chr17_GL000205v2_random — 0.2 Mb, 1 hits in 0.03s
[offtarget]   chr17_KI270729v1_random — 0.3 Mb, 2 hits in 0.02s
[offtarget]   chr17_KI270730v1_random — 0.1 Mb, 0 hits in 0.01s
[offtarget]   chr18 — 76.6 Mb, 806 hits in 1.33s
[offtarget]   chr19 — 55.9 Mb, 295 hits in 0.84s
[offtarget]   chr1_KI270706v1_random — 0.2 Mb, 5 hits in 0.03s
[offtarget]   chr1_KI270707v1_random — 0.0 Mb, 2 hits in 0.01s
[offtarget]   chr1_KI270708v1_random — 0.1 Mb, 4 hits in 0.02s
[offtarget]   chr1_KI270709v1_random — 0.1 Mb, 0 hits in 0.01s
