[offtarget] Loaded 37 unique guides, max_mismatches=3
[offtarget] Guide index: 0 entries (37 fwd + RC), 0 seed buckets
[offtarget] Scanning reference genome: /Volumes/T9/loom-openscience/raw/cow/cow.fna
[offtarget] 1958 chromosomes/contigs found
[offtarget]   NC_037328.1 — 151.2 Mb, 0 hits in 0.01s
[offtarget]   NC_037329.1 — 129.9 Mb, 0 hits in 0.00s
[offtarget]   NC_037330.1 — 115.4 Mb, 0 hits in 0.00s
[offtarget]   NC_037331.1 — 114.4 Mb, 0 hits in 0.00s
[offtarget]   NC_037332.1 — 114.5 Mb, 0 hits in 0.00s
[offtarget]   NC_037333.1 — 112.3 Mb, 0 hits in 0.00s
[offtarget]   NC_037334.1 — 105.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037335.1 — 108.1 Mb, 0 hits in 0.00s
[offtarget]   NC_037336.1 — 100.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037337.1 — 98.5 Mb, 0 hits in 0.00s
[offtarget]   NC_037338.1 — 102.0 Mb, 0 hits in 0.00s
[offtarget]   NC_037339.1 — 83.2 Mb, 0 hits in 0.00s
[offtarget]   NC_037340.1 — 79.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037341.1 — 78.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037342.1 — 81.1 Mb, 0 hits in 0.00s
[offtarget]   NC_037343.1 — 77.3 Mb, 0 hits in 0.00s
[offtarget]   NC_037344.1 — 69.8 Mb, 0 hits in 0.00s
[offtarget]   NC_037345.1 — 62.8 Mb, 0 hits in 0.00s
[offtarget]   NC_037346.1 — 60.5 Mb, 0 hits in 0.00s
[offtarget]   NC_037347.1 — 68.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037348.1 — 66.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037349.1 — 58.0 Mb, 0 hits in 0.00s
[offtarget]   NC_037350.1 — 50.1 Mb, 0 hits in 0.00s
[offtarget]   NC_037351.1 — 59.4 Mb, 0 hits in 0.00s
[offtarget]   NC_037352.1 — 40.4 Mb, 0 hits in 0.00s
[offtarget]   NC_037353.1 — 49.6 Mb, 0 hits in 0.00s
[offtarget]   NC_037354.1 — 43.5 Mb, 0 hits in 0.00s
[offtarget]   NC_037355.1 — 43.8 Mb, 0 hits in 0.00s
[offtarget]   NC_037356.1 — 48.7 Mb, 0 hits in 0.00s
[offtarget]   NC_037357.1 — 132.6 Mb, 0 hits in 0.00s
[offtarget]   NC_082638.1 — 56.7 Mb, 0 hits in 0.00s
[offtarget]   NW_020190115.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190116.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190117.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190118.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190119.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190120.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190121.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190122.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190123.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190124.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190125.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190126.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190127.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190128.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190129.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190131.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190132.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190133.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190134.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190135.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190136.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190137.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190138.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190139.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190140.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190141.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190142.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190143.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190144.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190145.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190146.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190148.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190150.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190151.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190152.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190153.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190154.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190155.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190156.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190157.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190158.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190159.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190160.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190161.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190162.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190164.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190165.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190166.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190167.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190168.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190169.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190170.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190171.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190172.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190173.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190175.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190176.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190178.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190179.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190180.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190181.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190182.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190183.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_020190184.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190185.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190186.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190187.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190189.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190190.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190191.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190192.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190194.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190195.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190196.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190197.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190198.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190199.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190200.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190201.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190203.1 — 0.2 Mb, 0 hits in 0.00s
[offtarget]   NW_020190204.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190206.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190207.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190208.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190209.1 — 0.3 Mb, 0 hits in 0.00s
[offtarget]   NW_020190210.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190212.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190213.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190214.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190215.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190217.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190218.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190219.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190220.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190221.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190222.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190223.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190224.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190225.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190226.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190227.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190228.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190229.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190230.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190231.1 — 0.1 Mb, 0 hits in 0.00s
[offtarget]   NW_020190232.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190233.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190234.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190235.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190236.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190238.1 — 0.0 Mb, 0 hits in 0.00s
[offtarget]   NW_020190239.1 — 0.0 Mb, 0 hits in 0.00s
